ID do Problema,Descrição,Estado,Gravidade,Pontos da História,Caminho do Projeto,Variante de Local,Caminho,Linha,Coluna,ID do Incidente,Link de Ajuda,Nome do Assembly,Versão do Assembly,Chave Pública do Assembly,Trecho
Project.0002,As estruturas de destino do projeto precisam ser alteradas,Active,Mandatory,1,App_Finanças\App_Finanças.csproj,File,App_Finanças\App_Finanças.csproj,,,,,,,,"Estrutura de destino atual: .NETFramework,Version=v4.7.2 Estrutura de destino recomendada: net10.0"
Api.0002,Origem incompatível com a versão selecionada do .NET,Active,Potential,1,App_Finanças\App_Finanças.csproj,File,App_Finanças\Program.cs,50,16,T:System.Configuration.ConfigurationManager,,,,,"Console.WriteLine(""EmailService.SendEmail executed. SmtpServer: "" + ConfigurationManager.AppSettings[""SmtpServer""]);"
Api.0002,Origem incompatível com a versão selecionada do .NET,Active,Potential,1,App_Finanças\App_Finanças.csproj,File,App_Finanças\Program.cs,50,16,P:System.Configuration.ConfigurationManager.AppSettings,,,,,"Console.WriteLine(""EmailService.SendEmail executed. SmtpServer: "" + ConfigurationManager.AppSettings[""SmtpServer""]);"
Api.0001,Binário incompatível com a versão selecionada do .NET,Active,Mandatory,1,App_Finanças\App_Finanças.csproj,File,App_Finanças\TokenService.cs,33,12,M:System.IdentityModel.Tokens.Jwt.JwtSecurityTokenHandler.WriteToken(Microsoft.IdentityModel.Tokens.SecurityToken),,,,,return tokenHandler.WriteToken(token);
Api.0001,Binário incompatível com a versão selecionada do .NET,Active,Mandatory,1,App_Finanças\App_Finanças.csproj,File,App_Finanças\TokenService.cs,31,12,M:System.IdentityModel.Tokens.Jwt.JwtSecurityTokenHandler.CreateToken(Microsoft.IdentityModel.Tokens.SecurityTokenDescriptor),,,,,var token = tokenHandler.CreateToken(tokenDescriptor);
Api.0001,Binário incompatível com a versão selecionada do .NET,Active,Mandatory,1,App_Finanças\App_Finanças.csproj,File,App_Finanças\TokenService.cs,15,12,T:System.IdentityModel.Tokens.Jwt.JwtSecurityTokenHandler,,,,,var tokenHandler = new JwtSecurityTokenHandler();
Api.0001,Binário incompatível com a versão selecionada do .NET,Active,Mandatory,1,App_Finanças\App_Finanças.csproj,File,App_Finanças\TokenService.cs,15,12,M:System.IdentityModel.Tokens.Jwt.JwtSecurityTokenHandler.#ctor,,,,,var tokenHandler = new JwtSecurityTokenHandler();
Api.0002,Origem incompatível com a versão selecionada do .NET,Active,Potential,1,App_Finanças\App_Finanças.csproj,File,App_Finanças\EmailService.cs,19,12,T:System.Configuration.ConfigurationManager,,,,,"string password = ConfigurationManager.AppSettings[""Password""];"
Api.0002,Origem incompatível com a versão selecionada do .NET,Active,Potential,1,App_Finanças\App_Finanças.csproj,File,App_Finanças\EmailService.cs,19,12,P:System.Configuration.ConfigurationManager.AppSettings,,,,,"string password = ConfigurationManager.AppSettings[""Password""];"
Api.0002,Origem incompatível com a versão selecionada do .NET,Active,Potential,1,App_Finanças\App_Finanças.csproj,File,App_Finanças\EmailService.cs,18,12,T:System.Configuration.ConfigurationManager,,,,,"string portString = ConfigurationManager.AppSettings[""Port""];"
Api.0002,Origem incompatível com a versão selecionada do .NET,Active,Potential,1,App_Finanças\App_Finanças.csproj,File,App_Finanças\EmailService.cs,18,12,P:System.Configuration.ConfigurationManager.AppSettings,,,,,"string portString = ConfigurationManager.AppSettings[""Port""];"
Api.0002,Origem incompatível com a versão selecionada do .NET,Active,Potential,1,App_Finanças\App_Finanças.csproj,File,App_Finanças\EmailService.cs,17,12,T:System.Configuration.ConfigurationManager,,,,,"string email = ConfigurationManager.AppSettings[""SenderEmail""];"
Api.0002,Origem incompatível com a versão selecionada do .NET,Active,Potential,1,App_Finanças\App_Finanças.csproj,File,App_Finanças\EmailService.cs,17,12,P:System.Configuration.ConfigurationManager.AppSettings,,,,,"string email = ConfigurationManager.AppSettings[""SenderEmail""];"
Api.0002,Origem incompatível com a versão selecionada do .NET,Active,Potential,1,App_Finanças\App_Finanças.csproj,File,App_Finanças\EmailService.cs,16,12,T:System.Configuration.ConfigurationManager,,,,,"string smtpServer = ConfigurationManager.AppSettings[""SmtpServer""];"
Api.0002,Origem incompatível com a versão selecionada do .NET,Active,Potential,1,App_Finanças\App_Finanças.csproj,File,App_Finanças\EmailService.cs,16,12,P:System.Configuration.ConfigurationManager.AppSettings,,,,,"string smtpServer = ConfigurationManager.AppSettings[""SmtpServer""];"
